Year,Democrat,Republican,Third Party,winner
1980,11.446781647768749,9.86535498152497,,Republican
1984,7.375526517817153,7.891337614455264,,Republican
1988,8.18522672067191,6.665887624200188,,Republican
1992,8.273757492507496,6.815064092046022,6.484502541593816,Democrat
1996,8.600232574031477,5.9442666419331225,,Democrat
2000,7.9656826111208865,6.478456936813952,,Republican
2004,6.767227944683665,5.863965084988735,,Republican
2008,7.715779922173557,7.6227464451255,,Democrat
2012,8.410342100945822,5.755712445264582,,Democrat
2016,7.053908080647897,5.012049789907611,,
