Year,Democrat,Republican,Third Party,winner
1980,0.09073831408860758,0.07611461521493368,,Republican
1984,0.08313803256227496,0.09176252044252048,,Republican
1988,0.11378246037472223,0.11936669940142161,,Republican
1992,0.14904971702844041,0.07115737668657375,0.1689385259686011,Democrat
1996,0.12851898077598606,0.11771835622175765,,Democrat
2000,0.12096419020133282,0.1748863390237658,,Republican
2004,0.15819604283440755,0.1508696403374896,,Republican
2008,0.14750235844470874,0.09893031181672865,,Democrat
2012,0.1448276214526215,0.1220617170949618,,Democrat
2016,0.1658247387123357,0.12969370858356885,,
