Year,Democrat,Republican,Third Party,winner
1980,0.4181183049392444,0.4107264294445821,,Republican
1984,0.4017455890069526,0.38252255004255026,,Republican
1988,0.4812294286401428,0.47620089786756475,,Republican
1992,0.44543768485257856,0.40497801266049444,0.479882010220356,Democrat
1996,0.4385704366658833,0.4284084119458274,,Democrat
2000,0.4517861023632452,0.4804524358033129,,Republican
2004,0.47386989495480103,0.5188166508288465,,Republican
2008,0.4948773251877467,0.4920861762489398,,Democrat
2012,0.4517010882635884,0.45262308687175706,,Democrat
2016,0.4802563471555721,0.5190630275901258,,
